ProductID,CategoryID,AssemblyPlantID,ProductName,Description,CurrentAssemblyCost,CurrentSalePrice,StockQuantity,ReorderLevel,ImageURL,CreatedAt,Status
1,1,1,Samsung Galaxy S25 Ultra,"6.9-inch AMOLED, 200MP, S Pen, AI features",20065000,27990000,85,20,img/s25ultra.jpg,2024-01-15,Active
2,1,1,Samsung Galaxy S25+,"6.7-inch, Snapdragon 8 Elite, 50MP triple camera",14585000,22990000,110,25,img/s25plus.jpg,2024-01-15,Active
3,1,1,Samsung Galaxy S25,"6.2-inch, compact flagship, 50MP",11205000,18990000,140,30,img/s25.jpg,2024-01-15,Active
4,1,2,Samsung Galaxy A56,"6.7-inch, mid-range, 50MP OIS",9255000,10990000,180,40,img/a56.jpg,2024-03-01,Active
5,1,2,Samsung Galaxy A36,"6.6-inch, budget premium, 50MP",5555000,8490000,200,50,img/a36.jpg,2024-03-01,Active
6,1,1,Samsung Galaxy Z Fold6,"7.6-inch foldable, S Pen, multitasking",27325000,39990000,45,10,img/zfold6.jpg,2024-07-01,Active
7,1,1,Samsung Galaxy Z Flip6,"3.4-inch cover display, compact foldable",15705000,23990000,60,15,img/zflip6.jpg,2024-07-01,Active
8,2,1,Samsung Galaxy Tab S10 Ultra,"14.6-inch AMOLED, 256GB, S Pen included",17435000,28990000,50,12,img/tabs10u.jpg,2024-01-20,Active
9,2,3,Samsung Galaxy Tab S10+,"12.4-inch, 256GB, premium tablet",14635000,20990000,65,15,img/tabs10p.jpg,2024-01-20,Active
10,2,3,Samsung Galaxy Tab A9+,"11-inch, 128GB, affordable tablet",5425000,7490000,120,30,img/taba9p.jpg,2024-02-01,Active
11,3,2,Samsung Galaxy Book4 Pro,"16-inch AMOLED, Intel Core Ultra 7, 16GB",17635000,32990000,35,10,img/book4pro.jpg,2024-01-10,Active
12,3,2,Samsung Galaxy Book4 360,"13.3-inch 2-in-1, AMOLED touch, 16GB",15935000,23990000,40,10,img/book4360.jpg,2024-01-10,Active
13,4,4,Samsung Galaxy Watch7,"44mm, health tracking, Wear OS",3515000,7490000,90,20,img/watch7.jpg,2024-07-15,Active
14,4,4,Samsung Galaxy Watch Ultra,"47mm, titanium, extreme sports",4415000,13990000,50,15,img/watchultra.jpg,2024-07-15,Active
15,4,1,Samsung Galaxy Watch FE,"40mm, entry-level smartwatch",3255000,4990000,110,25,img/watchfe.jpg,2024-06-01,Active
16,5,1,Samsung Galaxy Buds3 Pro,"ANC, Hi-Fi audio, ergonomic design",605000,4990000,120,30,img/buds3pro.jpg,2024-07-01,Active
17,5,2,Samsung Galaxy Buds3,"Open-type, adaptive EQ",605000,2990000,150,40,img/buds3.jpg,2024-07-01,Active
18,5,3,Samsung HW-Q990D Soundbar,"11.1.4ch, 656W Dolby Atmos",6015000,23990000,20,5,img/soundbar.jpg,2024-01-01,Active
19,6,5,"Samsung 65"" Neo QLED 8K","8K resolution, Quantum HDR 2000",23635000,69990000,15,4,img/neoquled8k.jpg,2024-01-01,Active
20,6,5,"Samsung 55"" QLED 4K Q80D","4K QLED, 120Hz, Gaming TV",6835000,16990000,30,8,img/qled55.jpg,2024-02-01,Active
21,6,4,"Samsung 43"" Crystal 4K",Entry-level 4K smart TV,2415000,7490000,55,15,img/crystal43.jpg,2024-02-01,Active
22,7,5,Samsung Bespoke French Door Fridge,"253L, Family Hub, AI Energy",6035000,24990000,20,5,img/fridge.jpg,2024-01-01,Active
23,7,5,Samsung WW12DG Washing Machine,"12kg, AI Wash, Steam Wash",4435000,12990000,25,6,img/washer.jpg,2024-01-01,Active
24,8,3,Samsung Clear Case S25 Ultra,Premium clear protective case,50000,390000,300,80,img/case_s25u.jpg,2024-01-20,Active
25,8,3,Samsung 45W Travel Adapter,Fast charging USB-C adapter,198000,490000,400,100,img/charger45w.jpg,2024-01-10,Active
